Mnémonique;Libellé;Unité;Pas de temps
BA300;HAUTEUR MINIMALE DE LA COUCHE >300M AVEC UNE NÉBULOSITÉ MAXI > 4/8;METRES;quotidien
BROU;OCCURRENCE DE BROUILLARD QUOTIDIENNE;BOOLEEN;quotidien
BRUME;OCCURRENCE DE BRUME QUOTIDIENNE;BOOLEEN;quotidien
DG;DUREE DE GEL QUOTIDIENNE;MINUTES;quotidien
DHUMEC;DUREE HUMECTATION QUOTIDIENNE;MINUTES;quotidien
DHUMI40;DUREE HUMIDITE <= 40% QUOTIDIENNE;MINUTES;quotidien
DHUMI80;DUREE HUMIDITE >= 80% QUOTIDIENNE;MINUTES;quotidien
DIFT;RAYONNEMENT DIFFUS QUOTIDIEN;JOULES/CM2;quotidien
DIRT;RAYONNEMENT DIRECT QUOTIDIEN;JOULES/CM2;quotidien
DRR;DUREE DES PRECIPITATIONS QUOTIDIENNES;MINUTES;quotidien
DXI;DIRECTION VENT MAXI INSTANTANE QUOTIDIEN;ROSE DE 360;quotidien
DXI2;DIRECTION DU VENT INSTANTANE MAXI QUOTIDIEN A 2 M;ROSE DE 360;quotidien
DXI3S;DIRECTION DU VENT INSTANTANÉ SUR 3 SECONDES;ROSE DE 360;quotidien
DXY;DIRECTION VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;ROSE DE 360;quotidien
ECLAIR;OCCURRENCE ECLAIR QUOTIDIENNE;BOOLEEN;quotidien
ETPGRILLE;ETP CALCULEE AU POINT DE GRILLE LE PLUS PROCHE;MILLIMETRES ET 1/10;quotidien
ETPMON;EVAPO-TRANSPIRATION MONTEITH QUOTIDIENNE;MILLIMETRES ET 1/10;quotidien
FF2M;MOYENNE DES VITESSES DU VENT A 2 METRES QUOTIDIENNE;M/S ET 1/10;quotidien
FFM;MOYENNE DES VITESSES DU VENT A 10M QUOTIDIENNE;M/S ET 1/10;quotidien
FUMEE;OCCURRENCE DE FUMEE QUOTIDIENNE;BOOLEEN;quotidien
FXI;VITESSE VENT MAXI INSTANTANE QUOTIDIENNE;M/S ET 1/10;quotidien
FXI2;VITESSE DU VENT INSTANTANE MAXI QUOTIDIEN A 2 M;M/S ET 1/10;quotidien
FXI3S;VITESSE DU VENT INSTANTANÉ SUR 3 SECONDES, MAXI DANS L’HEURE;M/S ET 1/10;quotidien
FXY;VITESSE VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;M/S ET 1/10;quotidien
GELEE;OCCURRENCE DE GELEE QUOTIDIENNE;BOOLEEN;quotidien
GLOT;RAYONNEMENT GLOBAL QUOTIDIEN;JOULES/CM2;quotidien
GRELE;OCCURRENCE DE GRELE QUOTIDIENNE;BOOLEEN;quotidien
GRESIL;OCCURENCE DE GRESIL QUOTIDIENNE;BOOLEEN;quotidien
HNEIGEF;HAUTEUR DE NEIGE TOMBEE EN 24H;CENTIMETRES;quotidien
HTN;HEURE DU TN SOUS ABRI QUOTIDIENNE;HEURES ET MINUTES;quotidien
HTX;HEURE DU TX SOUS ABRI QUOTIDIENNE;HEURES ET MINUTES;quotidien
HUN;HEURE DU MINI D'HUMIDITE QUOTIDIENNE;HEURES ET MINUTES;quotidien
HUX;HEURE DU MAXI D'HUMIDITE QUOTIDIENNE;HEURES ET MINUTES;quotidien
HXI;HEURE VENT MAXI INSTANTANE QUOTIDIEN;HEURES ET MINUTES;quotidien
HXI2;HEURE DU VENT MAX INSTANTANE A 2 M QUOTIDIENNE;HEURES ET MINUTES;quotidien
HXI3S;HEURE DU VENT INSTANTANÉ SUR 3 SECONDES;HEURES ET MINUTES;quotidien
HXY;HEURE VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;HEURES ET MINUTES;quotidien
INFRART;SOMME DES RAYONNEMENTS IR HORAIRE;JOULES/CM2;quotidien
INST;DUREE D'INSOLATION QUOTIDIENNE;MINUTES;quotidien
NB300;NÉBULOSITÉ MAXIMALE > 4/8 D’UNE COUCHE < 300 M;OCTAS;quotidien
NEIG;OCCURRENCE DE NEIGE QUOTIDIENNE;BOOLEEN;quotidien
NEIGETOT06;EPAISSEUR DE NEIGE TOTALE RELEVEE A 0600 FU;CENTIMETRE;quotidien
NEIGETOTX;MAXIMUM QUOTIDIEN DES EPAISSEURS DE NEIGE TOTALE HORAIRE;CENTIMETRE;quotidien
ORAG;OCCURRENCE D'ORAGE QUOTIDIENNE;BOOLEEN;quotidien
PMERM;PRESSION MER MOYENNE QUOTIDIENNE;HPA ET 1/10;quotidien
PMERMIN;PRESSION MER MINIMUM QUOTIDIENNE;HPA ET 1/10;quotidien
